Epoch 1 | Loss 18771440.799221653
Epoch 2 | Loss 18066000.20400672
Epoch 3 | Loss 17133211.35817265
Epoch 4 | Loss 16932383.380373254
Epoch 5 | Loss 16824868.212807357
Epoch 6 | Loss 16767245.255837608
Epoch 7 | Loss 16718455.118344242
Epoch 8 | Loss 16694294.661684062
Epoch 9 | Loss 16661619.118388467
Epoch 10 | Loss 16640646.930833185
Epoch 11 | Loss 16623040.578232797
Epoch 12 | Loss 16608373.445206085
Epoch 13 | Loss 16591529.681496551
Epoch 14 | Loss 16555580.376614187
Epoch 15 | Loss 16463271.174066868
Epoch 16 | Loss 16277261.601848576
Epoch 17 | Loss 16030515.473067397
Epoch 18 | Loss 15857413.6624801
Epoch 19 | Loss 15741988.300504157
Epoch 20 | Loss 15666759.094109323
Epoch 21 | Loss 15580694.282460641
Epoch 22 | Loss 15524768.26202901
Epoch 23 | Loss 15465192.131655758
Epoch 24 | Loss 15377908.223642314
Epoch 25 | Loss 15324441.356182558
Epoch 26 | Loss 15287716.890898637
Epoch 27 | Loss 15253377.665443128
Epoch 28 | Loss 15226769.25605873
Epoch 29 | Loss 15197843.995444896
Epoch 30 | Loss 15174979.93437113
Epoch 31 | Loss 15150111.88590129
Epoch 32 | Loss 15127377.837254556
Epoch 33 | Loss 15105874.016495666
Epoch 34 | Loss 15089037.690827878
Epoch 35 | Loss 15067331.028170882
Epoch 36 | Loss 15048264.10290996
Epoch 37 | Loss 15011494.116133027
Epoch 38 | Loss 14975114.944188926
Epoch 39 | Loss 14955003.789359633
Epoch 40 | Loss 14942818.646824695
Epoch 41 | Loss 14926896.974261453
Epoch 42 | Loss 14912483.573898815
Epoch 43 | Loss 14897524.924332213
Epoch 44 | Loss 14883192.82199717
Epoch 45 | Loss 14870804.705687245
Epoch 46 | Loss 14857596.63815673
Epoch 47 | Loss 14847885.351848576
Epoch 48 | Loss 14838829.590571377
Epoch 49 | Loss 14825762.948611356
Epoch 50 | Loss 14817139.05444012
Training is done!

Elapsed time for training:46.88091229200363 minutes.

