Epoch 1 | Loss 18266899.59901822
Epoch 2 | Loss 17346914.05563418
Epoch 3 | Loss 17054966.504068635
Epoch 4 | Loss 16896501.734963737
Epoch 5 | Loss 16765369.01048116
Epoch 6 | Loss 16650122.44998231
Epoch 7 | Loss 16522876.213072704
Epoch 8 | Loss 16380131.209711658
Epoch 9 | Loss 16236151.409782417
Epoch 10 | Loss 16080204.872589774
Epoch 11 | Loss 15932315.451839732
Epoch 12 | Loss 15808221.124226075
Epoch 13 | Loss 15706016.448434459
Epoch 14 | Loss 15620097.091632761
Epoch 15 | Loss 15551923.489341943
Epoch 16 | Loss 15493596.71209977
Epoch 17 | Loss 15444531.151733592
Epoch 18 | Loss 15411227.084158855
Epoch 19 | Loss 15375990.404696621
Epoch 20 | Loss 15344195.679771803
Epoch 21 | Loss 15323304.094065098
Epoch 22 | Loss 15299250.818503449
Epoch 23 | Loss 15286608.084689545
Epoch 24 | Loss 15270075.237838317
Epoch 25 | Loss 15255752.877233328
Epoch 26 | Loss 15237530.716654874
Epoch 27 | Loss 15221648.862727756
Epoch 28 | Loss 15209261.625862373
Epoch 29 | Loss 15199357.895763312
Epoch 30 | Loss 15184246.334777994
Epoch 31 | Loss 15173939.516982133
Epoch 32 | Loss 15162735.968379622
Epoch 33 | Loss 15157462.026048116
Epoch 34 | Loss 15144221.445117638
Epoch 35 | Loss 15135237.864496727
Epoch 36 | Loss 15129597.378162038
Epoch 37 | Loss 15117524.990093755
Epoch 38 | Loss 15107318.036838846
Epoch 39 | Loss 15101346.406465594
Epoch 40 | Loss 15092349.055634176
Epoch 41 | Loss 15085173.729214577
Epoch 42 | Loss 15076741.561560234
Epoch 43 | Loss 15069395.36524854
Epoch 44 | Loss 15065255.268353086
Epoch 45 | Loss 15055833.068768796
Epoch 46 | Loss 15045914.986334689
Epoch 47 | Loss 15042368.50676632
Epoch 48 | Loss 15039546.74044755
Epoch 49 | Loss 15031045.481912259
Epoch 50 | Loss 15025837.978595436
Training is done!

Elapsed time for training:44.86743077834447 minutes.

