Epoch 1 | Loss 18114818.520519182
Epoch 2 | Loss 24316036.697652224
Epoch 3 | Loss 16938470.92078641
Epoch 4 | Loss 16789712.42221798
Epoch 5 | Loss 16721812.46898263
Epoch 6 | Loss 16670537.376216834
Epoch 7 | Loss 16623426.979003627
Epoch 8 | Loss 16507601.301584272
Epoch 9 | Loss 16288267.080167972
Epoch 10 | Loss 16057853.711777057
Epoch 11 | Loss 15877870.467264745
Epoch 12 | Loss 15740873.316472609
Epoch 13 | Loss 15633576.384042757
Epoch 14 | Loss 15547980.742508112
Epoch 15 | Loss 15468594.577018514
Epoch 16 | Loss 15413171.647451803
Epoch 17 | Loss 15353413.992937583
Epoch 18 | Loss 15309145.338423364
Epoch 19 | Loss 15264164.368390914
Epoch 20 | Loss 15225350.679328116
Epoch 21 | Loss 15191759.39664058
Epoch 22 | Loss 15153802.915632755
Epoch 23 | Loss 15125432.893491125
Epoch 24 | Loss 15098892.1191067
Epoch 25 | Loss 15073001.951899217
Epoch 26 | Loss 15051099.0167971
Epoch 27 | Loss 15024279.86123306
Epoch 28 | Loss 15002605.205573583
Epoch 29 | Loss 14981876.191639626
Epoch 30 | Loss 14962390.911815232
Epoch 31 | Loss 14944921.01030731
Epoch 32 | Loss 14921178.430043902
Epoch 33 | Loss 14903560.090284405
Epoch 34 | Loss 14885033.952471845
Epoch 35 | Loss 14865904.125787364
Epoch 36 | Loss 14846480.884901699
Epoch 37 | Loss 14831540.153273525
Epoch 38 | Loss 14814904.228478717
Epoch 39 | Loss 14797354.305020042
Epoch 40 | Loss 14784717.646879176
Epoch 41 | Loss 14769476.379270853
Epoch 42 | Loss 14754376.265126932
Epoch 43 | Loss 14739965.309791945
Epoch 44 | Loss 14723642.201565184
Epoch 45 | Loss 14711947.694598205
Epoch 46 | Loss 14699854.940828402
Epoch 47 | Loss 14686528.711204428
Epoch 48 | Loss 14672368.660622256
Epoch 49 | Loss 14660649.312655088
Epoch 50 | Loss 14649307.847680856
Training is done!

Elapsed time for training:42.70328768094381 minutes.

