Epoch 1 | Loss 18321068.81885856
Epoch 2 | Loss 17310282.817140676
Epoch 3 | Loss 16984747.248329833
Epoch 4 | Loss 16815116.318763122
Epoch 5 | Loss 16668033.084367245
Epoch 6 | Loss 16485202.909524718
Epoch 7 | Loss 16321896.171025004
Epoch 8 | Loss 16202197.62645543
Epoch 9 | Loss 16081914.948463447
Epoch 10 | Loss 15967429.255201375
Epoch 11 | Loss 15848000.010498187
Epoch 12 | Loss 15759854.485207101
Epoch 13 | Loss 15670896.778392823
Epoch 14 | Loss 15609819.484825348
Epoch 15 | Loss 15565339.200038176
Epoch 16 | Loss 15517505.683718266
Epoch 17 | Loss 15482170.800343577
Epoch 18 | Loss 15453000.083794618
Epoch 19 | Loss 15419625.414582936
Epoch 20 | Loss 15394290.69192594
Epoch 21 | Loss 15373030.769039894
Epoch 22 | Loss 15350390.935483871
Epoch 23 | Loss 15333554.071578545
Epoch 24 | Loss 15314259.009543806
Epoch 25 | Loss 15294495.263218172
Epoch 26 | Loss 15280151.635235732
Epoch 27 | Loss 15260196.945982058
Epoch 28 | Loss 15247505.38786028
Epoch 29 | Loss 15235393.291086085
Epoch 30 | Loss 15227231.46306547
Epoch 31 | Loss 15213588.059744226
Epoch 32 | Loss 15198924.000190876
Epoch 33 | Loss 15185877.42374499
Epoch 34 | Loss 15177445.676464975
Epoch 35 | Loss 15166197.821149074
Epoch 36 | Loss 15161595.664058026
Epoch 37 | Loss 15145785.875548769
Epoch 38 | Loss 15136410.751861041
Epoch 39 | Loss 15128052.874976141
Epoch 40 | Loss 15119893.490551632
Epoch 41 | Loss 15113698.79480817
Epoch 42 | Loss 15104486.030731056
Epoch 43 | Loss 15099454.22046192
Epoch 44 | Loss 15090793.83813705
Epoch 45 | Loss 15083247.908188585
Epoch 46 | Loss 15076402.483680092
Epoch 47 | Loss 15071038.803779347
Epoch 48 | Loss 15061822.516510785
Epoch 49 | Loss 15053581.949417828
Epoch 50 | Loss 15045857.298148502
Training is done!

Elapsed time for training:41.008153053124744 minutes.

