Epoch 1 | Loss 18187789.644138984
Epoch 2 | Loss 17712493.98281787
Epoch 3 | Loss 17223891.907980144
Epoch 4 | Loss 17041751.21229477
Epoch 5 | Loss 16945763.231386025
Epoch 6 | Loss 16851667.748377245
Epoch 7 | Loss 16797661.251622755
Epoch 8 | Loss 16741104.254677357
Epoch 9 | Loss 16703366.012600228
Epoch 10 | Loss 16649628.505536465
Epoch 11 | Loss 16558870.896907216
Epoch 12 | Loss 16430641.589919817
Epoch 13 | Loss 16284274.181748759
Epoch 14 | Loss 16150386.399007255
Epoch 15 | Loss 16051541.000763651
Epoch 16 | Loss 15987280.092783505
Epoch 17 | Loss 15932054.57006491
Epoch 18 | Loss 15889027.393279878
Epoch 19 | Loss 15852671.403589156
Epoch 20 | Loss 15823117.695685375
Epoch 21 | Loss 15793339.49484536
Epoch 22 | Loss 15768649.505918289
Epoch 23 | Loss 15742044.232149675
Epoch 24 | Loss 15720672.10652921
Epoch 25 | Loss 15694294.622756777
Epoch 26 | Loss 15674831.776250478
Epoch 27 | Loss 15656005.225276824
Epoch 28 | Loss 15633674.04849179
Epoch 29 | Loss 15617082.461626574
Epoch 30 | Loss 15600930.648339061
Epoch 31 | Loss 15584676.836578846
Epoch 32 | Loss 15567931.588392517
Epoch 33 | Loss 15554375.52310042
Epoch 34 | Loss 15542369.814814815
Epoch 35 | Loss 15528759.594119893
Epoch 36 | Loss 15517236.015273005
Epoch 37 | Loss 15506338.04543719
Epoch 38 | Loss 15494665.749522718
Epoch 39 | Loss 15483099.221840397
Epoch 40 | Loss 15473280.738067964
Epoch 41 | Loss 15461965.372279497
Epoch 42 | Loss 15453423.252768232
Epoch 43 | Loss 15443991.105383735
Epoch 44 | Loss 15434968.509354716
Epoch 45 | Loss 15426607.78006873
Epoch 46 | Loss 15415929.576174112
Epoch 47 | Loss 15408758.297823597
Epoch 48 | Loss 15400440.375334097
Epoch 49 | Loss 15392512.035127912
Epoch 50 | Loss 15384553.445971744
Training is done!

Elapsed time for training:44.38360219796498 minutes.

