Epoch 1 | Loss 18533051.978617795
Epoch 2 | Loss 17565219.641084384
Epoch 3 | Loss 17245328.10805651
Epoch 4 | Loss 17061243.004963726
Epoch 5 | Loss 16953188.402061857
Epoch 6 | Loss 16872522.185948834
Epoch 7 | Loss 16800532.769377626
Epoch 8 | Loss 16708622.283696067
Epoch 9 | Loss 16591352.827033218
Epoch 10 | Loss 16462973.806414662
Epoch 11 | Loss 16356142.825887743
Epoch 12 | Loss 16286682.532646049
Epoch 13 | Loss 16225762.63192058
Epoch 14 | Loss 16182708.384879725
Epoch 15 | Loss 16144777.468499428
Epoch 16 | Loss 16119345.421534937
Epoch 17 | Loss 16095006.366170295
Epoch 18 | Loss 16072134.005727377
Epoch 19 | Loss 16054619.694921726
Epoch 20 | Loss 16034688.03589156
Epoch 21 | Loss 16023271.889270714
Epoch 22 | Loss 15999213.359297441
Epoch 23 | Loss 15983978.886979762
Epoch 24 | Loss 15973736.924398625
Epoch 25 | Loss 15961748.220313096
Epoch 26 | Loss 15945583.096601756
Epoch 27 | Loss 15935944.332187857
Epoch 28 | Loss 15921763.43069874
Epoch 29 | Loss 15914748.389079802
Epoch 30 | Loss 15905891.21534937
Epoch 31 | Loss 15894299.818633066
Epoch 32 | Loss 15887614.449789995
Epoch 33 | Loss 15874139.275295915
Epoch 34 | Loss 15867026.114165712
Epoch 35 | Loss 15859214.520045819
Epoch 36 | Loss 15853544.0030546
Epoch 37 | Loss 15842768.66323024
Epoch 38 | Loss 15836941.942344407
Epoch 39 | Loss 15830656.056891944
Epoch 40 | Loss 15829025.651393661
Epoch 41 | Loss 15820231.132493319
Epoch 42 | Loss 15813088.058419244
Epoch 43 | Loss 15812521.086674303
Epoch 44 | Loss 15802885.241695303
Epoch 45 | Loss 15800062.249331806
Epoch 46 | Loss 15790263.36807942
Epoch 47 | Loss 15787165.644902635
Epoch 48 | Loss 15779676.654830087
Epoch 49 | Loss 15819817.194348989
Epoch 50 | Loss 15775709.971363116
Training is done!

Elapsed time for training:42.58991458415985 minutes.

